电影名称,电影类型
长津湖,"
                  剧情,历史,战争
                    2DIMAX
"
战狼2,"
                  动作,战争
                    3D
"
你好，李焕英,"
                  喜剧
                "
哪吒之魔童降世,"
                  动画
                    3DIMAX
"
流浪地球,"
                  科幻,冒险,灾难
                    3DIMAX
"
满江红,"
                  悬疑,喜剧,剧情
                    2DIMAX
"
唐人街探案3,"
                  喜剧,悬疑
                    2DIMAX
"
复仇者联盟4：终局之战,"
                  动作,科幻,奇幻,冒险
                    3DIMAX
"
长津湖之水门桥,"
                  剧情,历史,战争
                    2DIMAX
"
流浪地球2,"
                  科幻,冒险,灾难
                    2DIMAX
"
红海行动,"
                  剧情,动作
                    3DIMAX
"
唐人街探案2,"
                  喜剧,动作,悬疑
                    2DIMAX
"
美人鱼,"
                  喜剧,爱情,科幻
                    3D
"
我和我的祖国,"
                  剧情
                    2DIMAX
"
八佰,"
                  剧情,战争,历史
                    2DIMAX
"
独行月球,"
                  喜剧,科幻
                    2DIMAX
"
我不是药神,"
                  剧情,喜剧
                    2DIMAX
"
中国机长,"
                  剧情,传记,灾难
                    2DIMAX
"
我和我的家乡,"
                  剧情,喜剧
                    2DIMAX
"
速度与激情8,"
                  动作,惊悚,犯罪
                    3DIMAX
"
这个杀手不太冷静,"
                  喜剧
                "
西虹市首富,"
                  喜剧
                    2DIMAX
"
捉妖记,"
                  喜剧,奇幻,古装
                    3DIMAX
"
速度与激情7,"
                  动作,惊悚,犯罪
                    3DIMAX
"
复仇者联盟3：无限战争,"
                  动作,科幻,奇幻,冒险
                    3DIMAX
"
捉妖记2,"
                  喜剧,奇幻
                    2DIMAX
"
羞羞的铁拳,"
                  喜剧,奇幻
                    2DIMAX
"
疯狂的外星人,"
                  剧情,喜剧,科幻
                    2DIMAX
"
海王,"
                  动作,奇幻,冒险
                    3DIMAX
"
变形金刚4：绝迹重生,"
                  动作,科幻,冒险
                    3DIMAX
"
前任3：再见前任,"
                  喜剧,爱情
                "
毒液：致命守护者,"
                  动作,惊悚,科幻
                    3DIMAX
"
功夫瑜伽,"
                  动作,冒险,奇幻
                    3D
"
